"titulo","cdd","Criado_por","Observação","Tipo","Enviado para SIBI","Normalizado","Remissiva"
"ALMEIDA, FILINTO DE. 1857-1945","869.9145","","","","","",""
"ALMEIDA, MANUEL A. DE. 1831-1861","869.9235","","","","","",""
"Alpes","914.947","fflch","","Assunto","","",""
"Alpes (FR)","919.49","fflch","","Assunto","","",""
"Alpes (IT)","914.51","fflch","","Assunto","","",""
"Alpes (SW)","914.947","fflch","","Assunto","","",""
"Alpes de Haute Provence (FR)","914.495","fflch","","Assunto","","",""
"Alpes Maritimes (FR)","914.4941","fflch","","Assunto","","",""
"ALTHUSSER, Louis, filósofo argelino (1918-)","194.99 A467","fflch","","Autor","","",""
"ALVARENGA, MANUEL I. DA S.  1749-1814","869.9126","","","","","",""
"ALVARES DE AZEVEDO, MANUEL DE A. 1831-1852","869.9134","","","","","",""
"Amapá","918.116","","","Assunto","","",""
"AMARAL, EDMUNDO. 1897-?","869.935","","","","","",""
"Amazonas","918.113","","","Assunto","","",""
"AMAZÔNIA (HISTÓRIA)","981.1","7096021","","Assunto","","Normalizado",""
"Ambrose, Santo, Bispo de Milan  v. AMBRÓSIO, Santo, Arcebispo de Milão (340-397)","","","","Autor","","",""
"AMBRÓSIO, Santo, Arcebispo de Milão (340-397)","189.2 A496","fflch","","","","",""
"América Central","917.28","fflch","","Assunto","","",""
"América do Norte","917","fflch","","Assunto","","",""
"América do Sul","918","","","Assunto","","",""
"América do Sul (História) (1806-1830)","980.02","fflch","","Assunto","","",""
"América Latina","918","","","Assunto","","",""
"América Latina (Descrição e Viagens)","918","fflch","","Assunto","","",""
"AMIANO MARCELINO, ca 330-?","878.9 A538","fflch","","Autor","","",""
"AMOR (Ética)","177.7","fflch","","Assunto","","",""
"AMOR (Filosofia)","128.46","fflch","","Assunto","","",""
"AMOR (Psicologia)","157.3152.4 (*)","fflch","","Assunto","","",""
"AMULETO (Superstição)","398.41","fflch","","Assunto","","",""
"ANACREONTE, poeta lírico grego","884.3","fflch","","Autor","","",""
"Análise do discurso","401.41","","","Assunto","","",""
"ANARQUISMO (Ideologia política)","320.57","fflch","","Assunto","","",""
"ANAXÁGORAS, filósofo grego (500-428 a.C.)","182.8","fflch","","Autor","","",""
"ANCHIETA, JOSE DE","869.921","","","","","",""
"Anchor Bible Commentaries","220.77 A554 v....","","","Coleção","","",""
"Ancient Christian Writers","189.2 A541 v.","","(Coleção em Inglês) (Paulist Press/Newman Press)","Coleção","","",""
"Ancient Philosophy (30 volumes) ver lista","180 A541","","","Coleção","","",""
"Andaluzia","914.68","fflch","","Assunto","","",""
"ANDOCIDES, orador grego","885.1","fflch","","Autor","","",""
"Andorra","914.679","fflch","","Assunto","","",""
