"titulo","cdd","Criado_por","Observação","Tipo","Enviado para SIBI","Normalizado","Remissiva"
"LÍNGUA - ESTUDO E ENSINO","407","","","","","",""
"LÍNGUA ÁRABE","492.7","","","Assunto","","",""
"LÍNGUA ÁRABE (Alfabeto)","492.771","fflch","","Assunto","","",""
"LÍNGUA ÁRABE (Dialetos)","492.771","fflch","","Assunto","","",""
"LÍNGUA ÁRABE (Dicionários)","492.703","fflch","","Assunto","","",""
"LÍNGUA ÁRABE (Estudos e ensino)","492.707","fflch","","Assunto","","",""
"LÍNGUA ÁRABE (Etimologia)","492.7","fflch","","Assunto","","",""
"LÍNGUA ÁRABE (Fonologia)","492.7","fflch","","Assunto","","",""
"LÍNGUA ÁRABE (Gramática)","492.75","fflch","","Assunto","","",""
"LÍNGUA ARMÊNIA","491.992","fflch","","Assunto","","",""
"LÍNGUA ARMÊNIA (Alfabeto)","491.99921","fflch","","Assunto","","",""
"LÍNGUA ARMÊNIA (Dialetos)","491.99921","fflch","","Assunto","","",""
"LÍNGUA ARMÊNIA (Dicionários)","491.99203","fflch","","Assunto","","",""
"LÍNGUA ARMÊNIA (Estudo e Ensino)","491.99207","fflch","","Assunto","","",""
"LÍNGUA ARMÊNIA (Etimologia)","491.992","fflch","","Assunto","","",""
"LÍNGUA ARMÊNIA (Fonologia)","491.992","fflch","","Assunto","","",""
"LÍNGUA ARMÊNIA (Gramática)","491.9925","fflch","","Assunto","","",""
"LINGUA BIRMANESA","495.9","","","","","",""
"LÍNGUA BRASILEIRA DE SINAIS UP LIBRAS","371.912 (Educação)","7096021","","Assunto","Enviado para SIBI","Normalizado",""
"LÍNGUA CHINESA","495.1","fflch","","Assunto","","",""
"LÍNGUA CHINESA (Alfabeto)","495.111","fflch","","Assunto","","",""
"LÍNGUA CHINESA (Dialetos)","495.111","fflch","","Assunto","","",""
"LÍNGUA CHINESA (Dicionários)","495.103","fflch","","Assunto","","",""
"LÍNGUA CHINESA (Estudo e Ensino)","495.107","fflch","","Assunto","","",""
"LÍNGUA CHINESA (Etimologia)","495.1","fflch","","Assunto","","",""
"LÍNGUA CHINESA (Fonologia)","495.1","fflch","","Assunto","","",""
"LÍNGUA CHINESA (Gramática)","495.15","","","Assunto","","",""
"LÍNGUA COREANA","495.7","","","Assunto","","",""
"LÍNGUA COREANA (Alfabeto)","495.771","fflch","","Assunto","","",""
"LÍNGUA COREANA (Dialetos)","495.771","fflch","","Assunto","","",""
"LÍNGUA COREANA (Dicionários)","495.703","fflch","","Assunto","","",""
"LÍNGUA COREANA (Estudo e Ensino)","495.707","fflch","","Assunto","","",""
"LÍNGUA COREANA (Etimologia)","495.7","fflch","","Assunto","","",""
"LÍNGUA COREANA (Fonologia)","495.7","fflch","","Assunto","","",""
"LÍNGUA COREANA (Gramática)","495.75","fflch","","Assunto","","",""
"LÍNGUA FRANCESA","440","","","Assunto","","Normalizado","FRANCÊS - LÍNGUA"
"LÍNGUA FRANCESA - HISTÓRIA","440.9","7096021","","Assunto","Não enviado","Normalizado",""
"LÍNGUA FRANCESA - HISTÓRIA E  CRÍTICA","440.9","7096021","","Assunto","Não enviado","Normalizado",""
"LÍNGUA GREGA","","fflch","","","","",""
"LÍNGUA GREGA (Alfabeto)","","fflch","","","","",""
"LÍNGUA GREGA (Dialetos)","","fflch","","","","",""
"LÍNGUA GREGA (Dicionários)","","fflch","","","","",""
"LÍNGUA GREGA (Estilística)","","fflch","","","","",""
"LÍNGUA GREGA (Estudo e ensino)","","fflch","","","","",""
"LÍNGUA GREGA (Etimologia)","","fflch","","","","",""
"LÍNGUA GREGA (Gramática)","","fflch","","","","",""
"LÍNGUA GREGA (Redação)","","fflch","","","","",""
"LÍNGUA GUAIKURU","","fflch","","","","",""
"LÍNGUA GUARANI","498.14","fflch","","Assunto","","",""
"LÍNGUA HEBRAICA","492.4","fflch","","Assunto","","",""
"LÍNGUA HEBRAICA (Alfabeto)","492.471","fflch","","Assunto","","",""
"LÍNGUA HEBRAICA (Dialetos)","492.471","fflch","","Assunto","","",""
"LÍNGUA HEBRAICA (Dicionário)","492.403","fflch","","Assunto","","",""
"LÍNGUA HEBRAICA (Estudo e ensino)","492.407","fflch","","Assunto","","",""
"LÍNGUA HEBRAICA (Etimologia)","492.42","fflch","","Assunto","","",""
"LÍNGUA HEBRAICA (Fonologia)","492.44","fflch","","Assunto","","",""
"LÍNGUA HEBRAICA (Gramática)","492.45","fflch","","Assunto","","",""
"Língua hebréia v. LÍNGUA HEBRAICA","","fflch","","","","",""
"LÍNGUA HINDI","491.43","","ver HINDI","Assunto","","",""
"LÍNGUA JAPONESA","495.6","","","Assunto","","",""
"LÍNGUA JAPONESA - ESCRITA","495.6","","","","","",""
"LÍNGUA JAPONESA - GRAMATICA","495.65","","","","","",""
"LÍNGUA LATINA","470","bib","","Assunto","","",""
"LÍNGUA ROMÂNICA","479.1","","","","","",""
"LÍNGUA SÂNSCRITA","491.2","","","Assunto","","",""
"LINGUAGEM","400","","","","","",""
"LINGUAGEM - FILOSOFIA","401","","","","","",""
"LINGUAGEM - FILOSOFIA E TEORIA SEMIÓTICA","401.41","","","","","",""
"LINGUAGEM E EDUCAÇÃO","407.1","","","Assunto","","",""
"LINGUAGEM GESTUAL","419","","","","","",""
"LINGUAS AFRICANAS","496","","","","","",""
"LINGUAS AFRICANAS (BANTU) - ESTUDO E ENSINO","496","","","","","",""
"LINGUAS AFRICANAS (BANTU) - FILOLOGIA","496","","","","","",""
"LINGUAS AFRICANAS (BANTU) - FONETICA","496","","","","","",""
"LINGUAS AFRICANAS (BANTU) - HISTORIA","496","","","","","",""
"LINGUAS AFRICANAS (BARI) - GRAMATICA","496","","","","","",""
"LINGUAS AFRICANAS (CINYANJA) - GRAMATICA","496","","","","","",""
"LINGUAS AFRICANAS (EWE) - ESTUDO E ENSINO","496","","","","","",""
"LINGUAS AFRICANAS (GANGUELA) - GRAMATICA","496","","","","","",""
"LINGUAS AFRICANAS (KASSENA) - GRAMATICA","496","","","","","",""
"LINGUAS AFRICANAS (LOTUXO) - GRAMATICA","496","","","","","",""
"LINGUAS AFRICANAS (LUO) - GRAMATICA","496","","","","","",""
"LINGUAS AFRICANAS (MALAY) - GRAMATICA","496","","","","","",""
"LINGUAS AFRICANAS (NAMA) - GRAMATICA","496","","","","","",""
"LINGUAS AFRICANAS (QUIMBUNDO) - PONTUAÇÃO","496","","","","","",""
"LINGUAS AFRICANAS (RONGA) - GRAMATICA","496","","","","","",""
"LINGUAS AFRICANAS (SUAILI) - ESTUDO E ENSINO","496","","","","","",""
"LINGUAS AFRICANAS (UMBUNDU) - GRAMATICA","496","","","","","",""
"LINGUAS AFRICANAS - ESTUDO E ENSINO","496","","","","","",""
"LINGUAS AFRICANAS - FILOLOGIA","496","","","","","",""
"LINGUAS AFRICANAS - GRAMATICA","496","","","","","",""
"LINGUAS ASIATICAS (ANAMITA) - FILOLOGIA","495.9","","","","","",""
"LINGUAS ASIATICAS (ANAMITA) - GRAMATICA","495.9","","","","","",""
"LINGUAS ASIATICAS (ETRUSCA) - ESTUDO E ENSINO","495.9","","","","","",""
"LINGUAS ASIATICAS (ETRUSCA) - GRAMATICA","495.9","","","","","",""
"LINGUAS ASIATICAS (KHMER) - GRAMATICA","495.9","","","","","",""
"LINGUAS ASIATICAS (TURCO) - DIALETOS","495.9","","","","","",""
"LINGUAS ASIATICAS (TURCO) - GRAMATICA","495.9","","","","","",""
"LÍNGUAS ESLAVAS","491.8","","","","","",""
"LÍNGUAS INDIANAS","491","","","Assunto","","",""
"LÍNGUAS INDIANAS MODERNAS","491.4","","","Assunto","","",""
"LÍNGUAS INDÍGENAS (DICIONÁRIOS, VOCABULÁRIOS, ENCICLOPÉDIAS, etc.)","498.369","bib","","Assunto","","","Índios(Brasil) - (Dicionários, Vocabulários, Enciclopédias, etc.)"
"LINGUAS INDIGENAS (QUECHUA) - AMERICA DO SUL","498","","","","","",""
"LINGUAS INDIGENAS - AMERICA CENTRAL","497.8","","","","","",""
"LINGUAS INDIGENAS - BRASIL","498","","","","","",""
"LINGUAS INDIGENAS - CARTILHA","498.2","","","","","",""
"LINGUAS INDIGENAS - ESTUDO E ENSINO","498.07","","","","","",""
"LINGUAS INDIGENAS - MEXICO","497.7","","","","","",""
"LINGUAS INDIGENAS - PERU","498","","","","","",""
"LINGUAS INDIGENAS - VOCABULARIO - AMERICA DO SUL","498","","","","","",""
"LINGUAS INDIGENAS NORTE-AMERICANAS","497","","","","","",""
"LINGUAS INDIGENAS NORTE-AMERICANAS (ETIMOLOGIA)","497.2","","","","","",""
"LÍNGUAS INDO-EUROPEIAS - MORFOLOGIA","491","","","","","",""
"LÍNGUAS INDO-EUROPEIAS ORIENTAIS","491","","","Assunto","","",""
"LINGUAS OCEANICAS - INDONESIA - FILOLOGIA","499","","","","","",""
"LÍNGUAS PRÁCRITAS","491.3","","","Assunto","","",""
"LÍNGUAS SEMÍTICAS","492","","","","","",""
"LÍNGUAS URALO-ALTAICAS E DRAVÍDICAS","494","","","Assunto","","",""
"Línguas Yorubá","496.333","2508542","","","","","Línguas Iorubá"
"LINGUISTAS","410.92","fflch","","Assunto","","",""
"LINGUÍSTICA","410","","","","","",""
"LINGUÍSTICA - HISTÓRIA","410.9","","","","","",""
"LINGUÍSTICA - TEORIA","410.1","","","","","",""
"LINGUÍSTICA APLICADA","418","","","","","",""
"LINGUÍSTICA HISTÓRICA","417.7","fflch","","","","",""
"LINGUÍSTICA ROMÂNICA","479.1","","","","","",""
"LITERATURA (HISTÓRIA)","809","","","","","",""
"LITERATURA AFRICANA","896","","","","","",""
"LITERATURA AFRICANA - ANTOLOGIA","896.18","","","","","",""
"LITERATURA ALEMÃ","830","","","","","",""
"LITERATURA ALEMÃ - ANTOLOGIA","830.8","","","","","",""
"LITERATURA ALEMÃ - HISTORIA E CRITICA","830.9","","","","","",""
"LITERATURA ARABE","892.7","","","","","",""
"LITERATURA ARABE (ANTOLOGIA)","892.7308","","","","","",""
"LITERATURA ARABE - HISTORIA E CRITICA","892.709","","","","","",""
"LITERATURA ARMÊNIA","891.992","","","Assunto","","",""
"LITERATURA ARMÊNIA (História e Crítica)","891.99209","fflch","","Assunto","","",""
"LITERATURA BRAMÂNICA","891.23","fflch","","Assunto","","",""
"LITERATURA BRASILEIRA","869.985","7096021","","Assunto","","Normalizado",""
"LITERATURA BRASILEIRA - ANTOLOGIA","869.908","","","","","",""
"Literatura brasileira - Associações literárias","869.906","","","","","",""
"LITERATURA BRASILEIRA - CRÍTICA E INTERPRETAÇÃO","869.935","7096021","","Assunto","","",""
"LITERATURA BRASILEIRA - HISTORIA E CRITICA","869.909","","","","","",""
"LITERATURA BRASILEIRA - POESIA","869.915","","(tempo atual)","Assunto","","","POESIA BRASILEIRA"
"LITERATURA CABALÍSTICA","296.16","fflch","","Assunto","","",""
"LITERATURA CANADENSE DE EXPRESSÃO INGLESA","810.71","","","","","",""
"LITERATURA CATALÃ","849.9","","","","","",""
"LITERATURA CHINESA","895.1","","","Assunto","","",""
"LITERATURA CHINESA (POESIA CHINESA)","895.11","fflch","","Assunto","","",""
"LITERATURA CHINESA (ROMANCE/CONTO CHINÊS)","895.13","fflch","","Assunto","","",""
"LITERATURA CHINESA - HISTÓRIA E CRITICA","895.109","","","Assunto","","",""
"LITERATURA COMPARADA","809","","","","","",""
"LITERATURA COMPARADA (NA GRÉCIA ANTIGA)","809.881","","","","","",""
"LITERATURA COREANA","895.7","","","Assunto","","",""
"LITERATURA COREANA (História e crítica)","895.709","fflch","","Assunto","","",""
"LITERATURA CUBANA","868.991","bib","","Assunto","","",""
"LITERATURA DE CORDEL","398.2","fflch","","Assunto","","",""
"LITERATURA DE EXPRESSÃO ALEMÃ","839","","","","","",""
"LITERATURA DE EXPRESSÃO FRANCESA - AFRICA","840.996","","","","","",""
"LITERATURA DE EXPRESSÃO FRANCESA - BELGICA","840.993","","","","","",""
"LITERATURA DE EXPRESSÃO FRANCESA - CANADA","840.992","","","","","",""
"LITERATURA DE EXPRESSÃO FRANCESA - ILHAS","840.99","","","","","",""
"LITERATURA DE EXPRESSÃO FRANCESA - SUIÇA","840.99494","","","","","",""
"LITERATURA DE EXPRESSÃO HEBRAICA","892.499","fflch","","Assunto","","",""
"LITERATURA DE EXPRESSÃO INGLESA","828.99","","","","","",""
"LITERATURA DE EXPRESSÃO INGLESA - AUSTRALIA","828.993","","","","","",""
"LITERATURA DE EXPRESSÃO INGLESA - IRLANDA","828.99","bib","","Assunto","","","VT Literatura Irlandesa"
"LITERATURA DE EXPRESSÃO ITALIANA - SUIÇA","850.99494","","","Assunto","","",""
"LITERATURA DINAMARQUESA","839.81","","","","","",""
"LITERATURA DO TIMOR LESTE (Indonésia)","895.9","fflch","","Assunto","","",""
"LITERATURA DRAVÍDICA","894","","ver Literatura Uralo-Altaicas e Dravídicas","Assunto","","",""
"LITERATURA E CINEMA","809.933","","","Assunto","","",""
"LITERATURA E SOCIEDADE","801.3","","","","","",""
"LITERATURA ESPANHOLA","860","","","","","",""
"LITERATURA ESPANHOLA (ROMANCE)","863","","","Assunto","","",""
"LITERATURA ESPANHOLA - ANTOLOGIA","860.8","","","","","",""
"LITERATURA ESPANHOLA - HISTORIA E CRITICA","860.9","","","","","",""
"LITERATURA FRANCESA","840","","","","","",""
"LITERATURA FRANCESA - HISTORIA E CRITICA","840.9","","","","","",""
"LITERATURA GALEGA","869.899461","","","","","",""
"LITERATURA GREGA","880","","","Assunto","","",""
"LITERATURA GREGA (História e crítica)","880.9","fflch","","Assunto","","",""
"LITERATURA GREGA (Poesia épica)","","fflch","","","","",""
"LITERATURA GREGA (Romance antigo)","","fflch","","","","",""
"LITERATURA GREGA - ANTOLOGIA","880.8","","","","","",""
"Literatura grega clássica - Oratória","885","","","Assunto","","",""
"LITERATURA GREGA MODERNA","889","","","Assunto","","",""
"LITERATURA HEBRAICA","892.4","fflch","","Assunto","","",""
"LITERATURA HEBRAICA - ANTOLOGIA","892.408","","","","","",""
"LITERATURA HEBRAICA - HISTÓRIA E CRITICA","892.409","","","Assunto","","",""
"LITERATURA HINDI","891.43","","","Assunto","","",""
"LITERATURA HISPANO-AMERICANA","868.9","","","","","",""
"LITERATURA HISPANO-AMERICANA - ANTOLOGIA","868.908","","","","","",""
"LITERATURA HISPANO-AMERICANA - HISTORIA E CRITICA","868.909","","","","","",""
"LITERATURA HUNGARA","894.511","","","","","",""
"LITERATURA IDIÍCHE - ANTOLOGIA","839.0908","","","Assunto","","Normalizado",""
"LITERATURA IDIÍCHE - CARTA","839.096","","","Assunto","","Normalizado",""
"LITERATURA IDIÍCHE - CONTOS","839.093","","","Assunto","","Normalizado",""
"LITERATURA IDIÍCHE - CRÔNICA","839.098","","","Assunto","","Normalizado",""
"LITERATURA IDIÍCHE - ENSAIO","839.094","","","Assunto","","Normalizado",""
"LITERATURA IDIÍCHE - HISTÓRIA E CRÍTICA","839.09","","","Assunto","","Normalizado",""
"LITERATURA IDIÍCHE - ORATÓRIA","839.095","","","Assunto","","Normalizado",""
"LITERATURA IDIÍCHE - POESIA","839.091","","","Assunto","","Normalizado",""
"LITERATURA IDIÍCHE - ROMANCE","839.093","","","","","Normalizado",""
"LITERATURA IDIÍCHE - SÁTIRA","839.097","","","Assunto","","Normalizado",""
"LITERATURA IDIÍCHE - TEATRO","839.092","","","Assunto","","Normalizado",""
"LITERATURA IDIÍCHE / UP Literatura Yiddish / UP Literatura Judaica Alemã (Yiddish)","839.09","","","Assunto","","Normalizado",""
"Literatura iídiche","839.09","","","Assunto","","",""
"LITERATURA INDIANA CLASSICA","891.24","","","Assunto","","",""
"LITERATURA INDIANA ÉPICA","891.22","fflch","","Assunto","","",""
"LITERATURA INDIANA MODERNA","891.4","fflch","","Assunto","","",""
"LITERATURA INDIANA MODERNA","891.4","","","Assunto","","",""
"LITERATURA INFANTOJUVENIL","028.5","","","","","",""
"LITERATURA INGLESA","820","","","","","",""
"LITERATURA INGLESA (Romance)","823","fflch","","","","",""
"LITERATURA INGLESA - ANTOLOGIA","820.8","","","","","",""
"LITERATURA INGLESA - Ficção (Gênero)","823","bib","","Assunto","","","Ficção (Gênero) - Inglês"
"LITERATURA INGLESA - HISTORIA E CRITICA","820.9","","","","","",""
"LITERATURA IRLANDESA","828.99","bib","","Assunto","","","Irlanda - Literatura"
"LITERATURA ITALIANA - ANTOLOGIA","850.8","","","","","",""
"LITERATURA ITALIANA - CRITICA","850","","","","","",""
"LITERATURA ITALIANA - HISTORIA E CRITICA","850.9","","","","","",""
"LITERATURA ITALIANA- ROMANCE","853","","","Assunto","","",""
"LITERATURA JAPONESA","895.6","","","Assunto","","",""
"LITERATURA JAPONESA (História e crítica)","895.609","fflch","","Assunto","","",""
"LITERATURA LATINA","870","fflch","","Assunto","","",""
"LITERATURA LATINA  (DRAMA)","872","","","Assunto","","",""
"LITERATURA LATINA (CARTAS)","876","","","Assunto","","",""
"LITERATURA LATINA (ESTUDO E ENSINO)","870.7","","","Assunto","","",""
"LITERATURA LATINA (HISTÓRIA E CRÍTICA)","870.9","fflch","","Assunto","","",""
"LITERATURA LATINA (ORATÓRIA)","875","","","Assunto","","",""
"LITERATURA LATINA (POESIA ÉPICA)","873","","","Assunto","","",""
"LITERATURA LATINA (POESIA LÍRICA)","874","","","Assunto","","",""
"LITERATURA LATINA (POESIA)","871","","","Assunto","","",""
"LITERATURA LATINA (SATIRA E HUMOR)","877","","","","","",""
"LITERATURA LATINA - ANTOLOGIA","870.8","","","Assunto","","",""
"LITERATURA MEXICANA","868.991","7096021","","Assunto","","Normalizado",""
"Literatura Moçambicana","869.996","7096021","","Assunto","","Normalizado","Moçambique (Literatura)"
"LITERATURA NORTE-AMERICANA","810","","","","","",""
"LITERATURA NORTE-AMERICANA - ANTOLOGIA","810.8","","","","","",""
"LITERATURA NORTE-AMERICANA - CRITICA","810","","","","","",""
"LITERATURA NORTE-AMERICANA - ESTUDO E ENSINO","810.7","","","","","",""
"LITERATURA NORTE-AMERICANA - HISTORIA E CRITICA","810.9","","","","","",""
"LITERATURA NORTE-AMERICANA - INDIOS","897","","","","","",""
"LITERATURA NORUEGUESA","839.83","","","","","",""
"LITERATURA ORAL","398.2","fflch","","Assunto","","",""
"LITERATURA ORAL INDÍGENA","301.2","fflch","","Assunto","","",""
"LITERATURA PALI","891.37","","","Assunto","","",""
"LITERATURA PERUANA","868.991","bib","","Assunto","","",""
"LITERATURA POPULAR","398.2","fflch","","Assunto","","",""
"LITERATURA PORTUGUESA","869","","","","","",""
"LITERATURA PORTUGUESA - AFRICA","869.996","","","","","",""
"LITERATURA PORTUGUESA - ANTOLOGIA","869.08","","","","","",""
"LITERATURA PORTUGUESA - HISTORIA E CRITICA","869.09","","","","","",""
"LITERATURA ROMENA","859","fflch","","Assunto","","",""
"LITERATURA ROMENA (História e crítica)","859.09","fflch","","Assunto","","",""
"LITERATURA RUSSA","891.7","","","","","",""
"LITERATURA RUSSA (Ensaios)","891.74","fflch","","","","",""
"LITERATURA RUSSA - ANTOLOGIA","891.708","","","","","",""
"LITERATURA RUSSA - HISTÓRIA E CRÍTICA","891.709","","","Assunto","","",""
"LITERATURA SÂNSCRITA","891.2","","","Assunto","","",""
"LITERATURA SUECA","839.7","","","","","",""
"LITERATURA TALMÚDICA","296.12","fflch","","Assunto","","",""
"LITERATURA TAMIL","894.811","","","Assunto","","",""
"LITERATURA TCHECA","891.86","","","","","",""
"LITERATURA URUGUAIA","868.993","7096021","","Assunto","","Normalizado",""
"LITERATURA VÉDICA","891.21","","","Assunto","","",""
"LITERATURA VÉDICA","891.29","","","Assunto","","",""
"LITERATURA VÉDICA (Textos védicos)","891.21","fflch","","Assunto","","",""
"LITERATURA VENEZUELANA","868.99397","7096021","","Assunto","Enviado para SIBI","Normalizado",""
"LITERATURAS INDIANAS","891.1","","","Assunto","","",""
"LITERATURAS INDIANAS CLÁSSICAS","891.2","","","Assunto","","",""
"LITERATURAS INDIANAS CONTEMPORÂNEAS","891.40871","","","Assunto","","",""
"LITERATURAS INDIANAS MODERNAS","891.408","","","Assunto","","",""
"LITERATURAS INDO-EUROPEIAS ORIENTAIS","891","","","Assunto","","",""
"LITERATURAS PRÁCRITAS","891.3","","","Assunto","","",""
"LITERATURAS URALO-ALTAICAS E DRAVÍDICAS","894","","ver Literatura Dravídica","Assunto","","",""
"LITERTURA LATINA (SÁTIRA E HUMOR)","877","","","Assunto","","",""
"LITORAL","551.457","fflch","","Assunto","","",""
"Lituânia","914.793","","","Assunto","","",""
"LITURGIA","291.38","fflch","","Assunto","","",""
"LIVRE COMÉRCIO","382.71","fflch","","Assunto","","",""
"LIVRO DE ARTISTA","702.81","bib","","Assunto","","",""
"LIVRO DE MÓRMON","289.322","fflch","","Assunto","","",""
"LIVRO DIDÁTICO","371.32","fflch","","Assunto","","",""
"Livy v. TITO LÍVIO","","","VER TITO LÍVIO","","","",""
"LIXO","363.728","fflch","","Assunto","","",""
"Llull, Ramon VER Lúlio, Raimundo","","","","","","",""
"Lobby v. GRUPOS DE PRESSÃO","","fflch","","Assunto","","",""
"LOCALIZAÇÃO INDUSTRIAL","338.6042","fflch","","Assunto","","",""
"LOCKE, John, filósofo inglês (1632-1704) (Filosofia Moderna)","192.2 L814","fflch","","Autor","","",""
"LÓGICA","160","fflch","","Assunto","","",""
"LÓGICA DIALÉTICA","160","fflch","","Assunto","","",""
"LÓGICA FORMAL","160","fflch","","Assunto","","",""
"LÓGICA MATEMÁTICA","511.3","fflch","","Assunto","","",""
"Lombok","915.989","","","Assunto","","",""
"LONGITUDE","526.011","fflch","","Assunto","","",""
"LONGUS","883","","","Autor","","",""
"LOPES NETO, JOÃO S. 1865-1916","869.9349","","","","","",""
"LOTEAMENTO","307.76","fflch","","Assunto","","",""
"LOUCURA (Aspectos sociais)","362.2","fflch","","Assunto","","",""
"LOWER UMPQUA (TULO) - VOCABULARIO","497","","","","","",""
"Lua","919.91","","","Assunto","","",""
"LUCANO, MARCO ANES poeta latino (39 d.C.-65)","873.2 L965","fflch","","Autor","","",""
"Lucanus, Marcus Annaeus v. LUCANO MARCO ANES","","","VER LUCANO, MARCO ANES","Autor","","",""
"LUCIANO (e Samosata), escritor satírico grego (c125-c192)","888.7","fflch","","Autor","","",""
"LUCILIO JUNIOR, governador romano","871.7  L971","","","Autor","","",""
"LUCÍLIO, CAIO, poeta latino (c180-c102 a.C.)","877.1 L971","fflch","","Autor","","",""
"Lucílius Junior v. LUCILIO JUNIOR","","","VER LUCILIO JUNIOR","Autor","","",""
"Lucilius, Caius v. LUCÍLIO, CAIO","","","VER LUCÍLIO, CAIO","Autor","","",""
"LÚCIO  ÁCIO  escritor latino (170-94 a.C.)","872.8 A18","fflch","","Autor","","",""
"LUCRÉCIO CARO, Tito (c.99 a.C – c55 a.C.)","871.1  L974","fflch","UP: Lucrécio / Titus Lucretius Carus","Autor","Não enviado","Normalizado",""
"LUCRÉCIO ver LUCRECIO CARO, Tito","","","","Autor","","",""
"LUCRETIUS CARUS, Titus ver LUCRÉCIO CARO, Tito","","","","Autor","","",""
"LUCREZIO CARO, Tito ver LUCRECIO CARO, Tito","","","","Autor","","",""
"Lugar geográfico v. TOPONÍMIA","","fflch","","Assunto","","",""
"LUKACS, Georg, filósofo e crítico literário húngaro (1885-1971)","199.439 L954","fflch","","Autor","","",""
"Lúlio, Raimundo (ca. 1232-1316)","189.4 L955","","","","","",""
"Lullus, Raimundus VER Lúlio Raimundo","","","","","","",""
"LUTAS DE CLASSES","301.637305.5 (*)","fflch","","Assunto","","",""
"LUTERANISMO","284.1","fflch","","Assunto","","",""
"LUTERANOS","284.1","fflch","","Assunto","","",""
"LUTO (Costumes)","393.9","fflch","","Assunto","","",""
"Luxemburgo","914.935","","","Assunto","","",""
"LYCOPHRON, poeta da época alexandrina (c320-c250 a.C.)","881.3","fflch","","Autor","","",""
"LYOTARD, Jean-François (1924-1998)","194.13/L991","","","","","",""
"Mably, Gabriel Bonnot, Abade (1709-1785)","194.21 M112","2508542","","","","",""
"Macau","915.126","","","Assunto","","",""
"MACEDO, JOAQUIM MANUEL DE. 1820-1882","869.9139","","","","","",""
"Macedônia","914.956","","","Assunto","","",""
"MACHADO DE ASSIS, JOAQUIM M. 1839-1908","869.9141","","","","","",""
"MACIÇO","554.9","","","Assunto","","",""
"MacIntyre, Alasdair (1929-)","192 M152","2508542","","","","",""
"MACRO-JE - DIALETO - APINAYE","498.2","","","","","",""
"MACRO-JE - DIALETO - CANELA","498.2","","","","","",""
"Macrobe v. Macrobio, Ambrosio","","","VER Macrobio, Ambrosio","Autor","","",""
"MACRÓBIO, Ambrósio, escritor e gramático latino (séc. IV-V)","879 M148","fflch","","","","",""
"MACROECONOMIA","339","fflch","","Assunto","","",""
"MACU - GRAMATICA","498.4","","","","","",""
"MACULELÊ","793.31","fflch","","Assunto","","",""
"MACUMBA","299.6","fflch","","Assunto","","",""
"Madagascar","916.91","","","Assunto","","",""
"Madura","915.982","","","Assunto","","",""
"MAFIA","364.106","fflch","","Assunto","","",""
"MAGIA","133.43 (magia/bruxaria) ; 133.4 (demonologia/bruxaria)291.33/210.2","fflch","","Assunto","","",""
"MAIAS","301.2","fflch","","Assunto","","",""
"MAIASQUE - GRAMATICA","497.7","","","","","",""
"MAIMON, Solomon, filósofo judeu (1753-1800) – filosofia Moderna","190","fflch","","Autor","","",""
"MAIMÔNIDES, filósofo e teólogo judeu (1135-1204) (FFI/FFT)","181.3","fflch","","Autor","","",""
"MAIORIA ABSOLUTA (Representação política)","324.2","fflch","","Assunto","","",""
"MAIORIA OCASIONAL (Representação política)","324.2","fflch","","Assunto","","",""
"MAIORIA POLÍTICA (Representação política)","324.2","fflch","","Assunto","","",""
"MAIORIA RELATIVA (Representação política)","324.2","fflch","","Assunto","","",""
"MAIORIA SIMPLES (Representação política)","324.2","fflch","","Assunto","","",""
"Mair, John (1467–1550)","189.4 M228","2508542","","","","","Major, JohnMajoris, Joannes"
"MALAMBOS (Sociedades primitivas)","301.72","fflch","","Assunto","","",""
"Malásia","915.951","","","Assunto","","",""
"Malauí","916.897","","","Assunto","","",""
"Maldivas","915.495","","","Assunto","","",""
"MALEBRANCHE, Nicolas de, filósofo francês (1638-1715)","194.2","fflch","","Autor","","",""
"Mali","916.623","","","Assunto","","",""
"MALINOWSKI, Bronislaw, etnólogo norte-americano (1884-1942)","301.2","fflch","","Autor","","",""
"Malta","914.585","","","Assunto","","",""
"MANANCIAIS","551.498","fflch","","Assunto","","",""
"Manchuria","915.18","","","Assunto","","",""
"MANEJO AMBIENTAL","333.95","fflch","","Assunto","","",""
"MANIFESTAÇÕES DE RUA","303.484","fflch","","Assunto","","",""
"MANÍLIO","871.5  M245","fflch","","Autor","","",""
"Manilius, Marcus v. MANILIO","","","VER MANILIO","Autor","","",""
"MANUSCRITOS","091","7096021","","Assunto","","Normalizado",""
"MANUSCRITOS (HISTÓRIA E CRÍTICA)","091","7096021","","Assunto","","Normalizado",""
"MÃO-DE-OBRA","331.11","fflch","","Assunto","","",""
"MAOMÉ","297.63","fflch","","Assunto","","",""
"Maometismo v. ISLAMISMO","","fflch","","Assunto","","",""
"MAPA AERONÁUTICO","Ver Anexo II","fflch","","","","",""
"MAPA AGRÍCOLA","Ver Anexo II","fflch","","","","",""
"MAPA ASTRONÔMICO","Ver Anexo II","fflch","","","","",""
"MAPA CADASTRAL","Ver Anexo II","fflch","","","","",""
"MAPA DE RECENSEAMENTO DEMOGRÁFICO","Ver Anexo II","fflch","","","","",""
"MAPA DE USO DA TERRA","Ver Anexo II","fflch","","","","",""
"MAPA DEMOGRÁFICO","Ver Anexo II","fflch","","","","",""
"MAPA ECONÔMICO","Ver Anexo II","fflch","","","","",""
